Year,Item,Value
1997,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",830.9
1998,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",804.5
1999,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",766.6
2000,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",746.6
2001,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",876.8
2002,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1081.4
2003,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1154.6
2004,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1460.2
2005,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",996.1
2006,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1364.9
2007,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1586.3
2008,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1511.7
2009,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1386.4
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1521.8
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1422.1
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1415.9
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1505.7
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1720.8
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1461.8
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1451.3
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1409.8
2018,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1365.2
1991,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",52.74
1992,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",48.07
1993,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",46.08
1994,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",50.8
1995,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",51.24
1996,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",51.47
1997,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",56.3
1998,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",55.29
1999,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",54.97
2000,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",61.91
2001,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",74.85
2002,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",87.78
2003,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",78.15
2004,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",89.84
2005,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",61.19
2006,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",83.12
2007,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",88.54
2008,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",78.84
2009,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",76.24
2010,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",87.78
2011,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",78.15
2012,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",84.19
2013,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",86.63
2014,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",99.08
2015,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",100.69
2016,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",100.23
2017,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",95.34
2018,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",88.31
2019,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",90.6
2020,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",101.44
2021,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",98.5
2022,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",103.35
2023,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",102.11
2024,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",102.12
1991,Cucumbers and gherkins,10740.0
1992,Cucumbers and gherkins,8260.0
1993,Cucumbers and gherkins,7120.0
1994,Cucumbers and gherkins,8560.0
1995,Cucumbers and gherkins,5920.0
1996,Cucumbers and gherkins,4680.0
1997,Cucumbers and gherkins,6556.0
1998,Cucumbers and gherkins,5940.0
1999,Cucumbers and gherkins,5170.0
2000,Cucumbers and gherkins,5544.0
2001,Cucumbers and gherkins,6012.0
2002,Cucumbers and gherkins,369.0
2003,Cucumbers and gherkins,434.0
2004,Cucumbers and gherkins,469.0
2005,Cucumbers and gherkins,467.0
2006,Cucumbers and gherkins,464.0
2007,Cucumbers and gherkins,427.0
2008,Cucumbers and gherkins,420.0
2009,Cucumbers and gherkins,431.0
2010,Cucumbers and gherkins,514.0
2010,Cucumbers and gherkins,983.0
2010,Cucumbers and gherkins,836.0
2010,Cucumbers and gherkins,586.0
2010,Cucumbers and gherkins,532.0
2010,Cucumbers and gherkins,408.0
2010,Cucumbers and gherkins,531.0
2010,Cucumbers and gherkins,532.0
2010,Cucumbers and gherkins,478.0
2010,Cucumbers and gherkins,457.0
2010,Cucumbers and gherkins,324.0
2011,Cucumbers and gherkins,441.0
2011,Cucumbers and gherkins,803.0
2011,Cucumbers and gherkins,750.0
2011,Cucumbers and gherkins,567.0
2011,Cucumbers and gherkins,512.0
2011,Cucumbers and gherkins,278.0
2011,Cucumbers and gherkins,385.0
2011,Cucumbers and gherkins,369.0
2011,Cucumbers and gherkins,387.0
2011,Cucumbers and gherkins,456.0
2011,Cucumbers and gherkins,336.0
2012,Cucumbers and gherkins,484.0
2012,Cucumbers and gherkins,979.0
2012,Cucumbers and gherkins,748.0
2012,Cucumbers and gherkins,478.0
2012,Cucumbers and gherkins,512.0
2012,Cucumbers and gherkins,495.0
2012,Cucumbers and gherkins,494.0
2012,Cucumbers and gherkins,353.0
2012,Cucumbers and gherkins,442.0
2012,Cucumbers and gherkins,460.0
2012,Cucumbers and gherkins,284.0
2013,Cucumbers and gherkins,560.0
2013,Cucumbers and gherkins,979.0
2013,Cucumbers and gherkins,748.0
2013,Cucumbers and gherkins,478.0
2013,Cucumbers and gherkins,512.0
2013,Cucumbers and gherkins,495.0
2013,Cucumbers and gherkins,494.0
2013,Cucumbers and gherkins,353.0
2013,Cucumbers and gherkins,442.0
2013,Cucumbers and gherkins,460.0
2013,Cucumbers and gherkins,284.0
2014,Cucumbers and gherkins,476.0
2014,Cucumbers and gherkins,1037.0
2014,Cucumbers and gherkins,722.0
2014,Cucumbers and gherkins,483.0
2014,Cucumbers and gherkins,430.0
2014,Cucumbers and gherkins,463.0
2014,Cucumbers and gherkins,479.0
2014,Cucumbers and gherkins,394.0
2014,Cucumbers and gherkins,498.0
2014,Cucumbers and gherkins,569.0
2014,Cucumbers and gherkins,593.0
2015,Cucumbers and gherkins,556.0
2015,Cucumbers and gherkins,1035.0
2015,Cucumbers and gherkins,844.0
2015,Cucumbers and gherkins,592.0
2015,Cucumbers and gherkins,515.0
2015,Cucumbers and gherkins,497.0
2015,Cucumbers and gherkins,479.0
2015,Cucumbers and gherkins,513.0
2015,Cucumbers and gherkins,641.0
2015,Cucumbers and gherkins,641.0
2015,Cucumbers and gherkins,538.0
2016,Cucumbers and gherkins,559.0
2016,Cucumbers and gherkins,896.0
2016,Cucumbers and gherkins,518.0
2016,Cucumbers and gherkins,535.0
2016,Cucumbers and gherkins,500.0
2016,Cucumbers and gherkins,568.0
2016,Cucumbers and gherkins,602.0
2016,Cucumbers and gherkins,586.0
2016,Cucumbers and gherkins,539.0
2016,Cucumbers and gherkins,320.0
2017,Cucumbers and gherkins,500.0
2017,Cucumbers and gherkins,1106.0
2017,Cucumbers and gherkins,847.0
2017,Cucumbers and gherkins,522.0
2017,Cucumbers and gherkins,492.0
2017,Cucumbers and gherkins,419.0
2017,Cucumbers and gherkins,488.0
2017,Cucumbers and gherkins,419.0
2017,Cucumbers and gherkins,523.0
2017,Cucumbers and gherkins,541.0
2017,Cucumbers and gherkins,432.0
2018,Cucumbers and gherkins,555.0
1991,Cucumbers and gherkins,780.5
1992,Cucumbers and gherkins,600.3
1993,Cucumbers and gherkins,517.4
1994,Cucumbers and gherkins,622.1
1995,Cucumbers and gherkins,430.2
1996,Cucumbers and gherkins,340.1
1997,Cucumbers and gherkins,476.4
1998,Cucumbers and gherkins,431.7
1999,Cucumbers and gherkins,375.7
2000,Cucumbers and gherkins,402.9
2001,Cucumbers and gherkins,436.9
2002,Cucumbers and gherkins,369.0
2003,Cucumbers and gherkins,434.0
2004,Cucumbers and gherkins,469.0
2005,Cucumbers and gherkins,467.0
2006,Cucumbers and gherkins,464.0
2007,Cucumbers and gherkins,427.0
2008,Cucumbers and gherkins,420.0
2009,Cucumbers and gherkins,431.0
2010,Cucumbers and gherkins,514.0
2011,Cucumbers and gherkins,441.0
2012,Cucumbers and gherkins,484.0
2013,Cucumbers and gherkins,560.0
2014,Cucumbers and gherkins,476.0
2015,Cucumbers and gherkins,556.0
2016,Cucumbers and gherkins,559.0
2017,Cucumbers and gherkins,500.0
2018,Cucumbers and gherkins,555.0
1991,Cucumbers and gherkins,919.8
1992,Cucumbers and gherkins,751.6
1993,Cucumbers and gherkins,612.1
1994,Cucumbers and gherkins,749.4
1995,Cucumbers and gherkins,587.2
1996,Cucumbers and gherkins,442.1
1997,Cucumbers and gherkins,537.2
1998,Cucumbers and gherkins,479.8
1999,Cucumbers and gherkins,400.3
2000,Cucumbers and gherkins,371.2
2001,Cucumbers and gherkins,391.0
2002,Cucumbers and gherkins,347.3
2003,Cucumbers and gherkins,489.8
2004,Cucumbers and gherkins,582.3
2005,Cucumbers and gherkins,580.8
2006,Cucumbers and gherkins,582.1
2007,Cucumbers and gherkins,584.4
2008,Cucumbers and gherkins,615.2
2009,Cucumbers and gherkins,598.7
2010,Cucumbers and gherkins,680.8
2011,Cucumbers and gherkins,613.0
2012,Cucumbers and gherkins,621.9
2013,Cucumbers and gherkins,743.5
2014,Cucumbers and gherkins,631.5
2015,Cucumbers and gherkins,616.6
2016,Cucumbers and gherkins,618.3
2017,Cucumbers and gherkins,564.8
2018,Cucumbers and gherkins,655.4
1991,Cucumbers and gherkins,147.17
1992,Cucumbers and gherkins,113.19
1993,Cucumbers and gherkins,97.57
1994,Cucumbers and gherkins,117.3
1995,Cucumbers and gherkins,81.12
1996,Cucumbers and gherkins,64.13
1997,Cucumbers and gherkins,89.84
1998,Cucumbers and gherkins,81.4
1999,Cucumbers and gherkins,70.85
2000,Cucumbers and gherkins,75.97
2001,Cucumbers and gherkins,82.38
2002,Cucumbers and gherkins,69.58
2003,Cucumbers and gherkins,81.84
2004,Cucumbers and gherkins,88.43
2005,Cucumbers and gherkins,88.06
2006,Cucumbers and gherkins,87.49
2007,Cucumbers and gherkins,80.52
2008,Cucumbers and gherkins,79.2
2009,Cucumbers and gherkins,81.27
2010,Cucumbers and gherkins,96.92
2011,Cucumbers and gherkins,83.16
2012,Cucumbers and gherkins,91.26
2013,Cucumbers and gherkins,105.59
2014,Cucumbers and gherkins,89.75
2015,Cucumbers and gherkins,104.84
2016,Cucumbers and gherkins,105.41
2017,Cucumbers and gherkins,94.28
2018,Cucumbers and gherkins,104.65
2019,Cucumbers and gherkins,97.04
2020,Cucumbers and gherkins,89.38
2021,Cucumbers and gherkins,95.19
2022,Cucumbers and gherkins,96.66
2023,Cucumbers and gherkins,98.58
2024,Cucumbers and gherkins,100.5
1995,Green garlic,32000.0
1996,Green garlic,40000.0
1997,Green garlic,35000.0
1998,Green garlic,35000.0
1999,Green garlic,35000.0
2000,Green garlic,35000.0
2001,Green garlic,35000.0
2002,Green garlic,2528.0
2003,Green garlic,2150.0
2004,Green garlic,2500.0
2005,Green garlic,2600.0
2006,Green garlic,2720.0
2007,Green garlic,2800.0
2008,Green garlic,3200.0
2009,Green garlic,3200.0
2010,Green garlic,3570.0
2010,Green garlic,4200.0
2010,Green garlic,4200.0
2010,Green garlic,4200.0
2010,Green garlic,3300.0
2010,Green garlic,3300.0
2010,Green garlic,3300.0
2010,Green garlic,3300.0
2011,Green garlic,4300.0
2012,Green garlic,4311.0
2012,Green garlic,4030.0
2012,Green garlic,5200.0
2012,Green garlic,4300.0
2012,Green garlic,4200.0
2012,Green garlic,4200.0
2012,Green garlic,4200.0
2012,Green garlic,4200.0
2012,Green garlic,4200.0
2013,Green garlic,3755.0
2013,Green garlic,4030.0
2013,Green garlic,5200.0
2013,Green garlic,4300.0
2013,Green garlic,4200.0
2013,Green garlic,4200.0
2013,Green garlic,4200.0
2013,Green garlic,4200.0
2013,Green garlic,4200.0
2014,Green garlic,3895.0
2014,Green garlic,3800.0
2014,Green garlic,3800.0
2014,Green garlic,3800.0
2014,Green garlic,4100.0
2014,Green garlic,3900.0
2014,Green garlic,3900.0
2014,Green garlic,3900.0
2014,Green garlic,3900.0
2014,Green garlic,3900.0
2014,Green garlic,3900.0
2015,Green garlic,3830.0
2015,Green garlic,3600.0
2015,Green garlic,3600.0
2015,Green garlic,3600.0
2015,Green garlic,4100.0
2015,Green garlic,3900.0
2015,Green garlic,3900.0
2015,Green garlic,3900.0
2015,Green garlic,3900.0
2015,Green garlic,3900.0
2015,Green garlic,3900.0
2016,Green garlic,3660.0
2016,Green garlic,3900.0
2016,Green garlic,3900.0
2016,Green garlic,3900.0
2016,Green garlic,3900.0
2016,Green garlic,3200.0
2016,Green garlic,3500.0
2016,Green garlic,3500.0
2016,Green garlic,3600.0
2016,Green garlic,3600.0
2016,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2017,Green garlic,3600.0
2018,Green garlic,3629.0
1995,Green garlic,2325.5
1996,Green garlic,2906.9
1997,Green garlic,2543.5
1998,Green garlic,2543.5
1999,Green garlic,2543.5
2000,Green garlic,2543.5
2001,Green garlic,2543.5
2002,Green garlic,2528.0
2003,Green garlic,2150.0
2004,Green garlic,2500.0
2005,Green garlic,2600.0
2006,Green garlic,2720.0
2007,Green garlic,2800.0
2008,Green garlic,3200.0
2009,Green garlic,3200.0
2010,Green garlic,3570.0
2011,Green garlic,4300.0
2012,Green garlic,4311.0
2013,Green garlic,3755.0
2014,Green garlic,3895.0
2015,Green garlic,3830.0
2016,Green garlic,3660.0
2017,Green garlic,3600.0
2018,Green garlic,3629.0
1995,Green garlic,3174.1
1996,Green garlic,3778.4
1997,Green garlic,2867.9
1998,Green garlic,2827.4
1999,Green garlic,2709.9
2000,Green garlic,2343.4
2001,Green garlic,2276.1
2002,Green garlic,2379.2
2003,Green garlic,2426.5
2004,Green garlic,3104.2
2005,Green garlic,3233.3
2006,Green garlic,3412.2
2007,Green garlic,3832.3
2008,Green garlic,4687.4
2009,Green garlic,4445.4
2010,Green garlic,4728.2
2011,Green garlic,5977.6
2012,Green garlic,5539.0
2013,Green garlic,4985.7
2014,Green garlic,5167.6
2015,Green garlic,4247.7
2016,Green garlic,4048.5
2017,Green garlic,4066.9
2018,Green garlic,4285.7
1991,Green garlic,53.38
1992,Green garlic,55.4
1993,Green garlic,56.86
1994,Green garlic,59.28
1995,Green garlic,61.28
1996,Green garlic,76.6
1997,Green garlic,67.02
1998,Green garlic,67.02
1999,Green garlic,67.02
2000,Green garlic,67.02
2001,Green garlic,67.02
2002,Green garlic,66.61
2003,Green garlic,56.65
2004,Green garlic,65.88
2005,Green garlic,68.51
2006,Green garlic,71.67
2007,Green garlic,73.78
2008,Green garlic,84.32
2009,Green garlic,84.32
2010,Green garlic,94.07
2011,Green garlic,113.31
2012,Green garlic,113.6
2013,Green garlic,98.95
2014,Green garlic,102.64
2015,Green garlic,100.92
2016,Green garlic,96.44
2017,Green garlic,94.86
2018,Green garlic,95.63
2019,Green garlic,94.42
2020,Green garlic,94.56
2021,Green garlic,97.52
2022,Green garlic,98.35
2023,Green garlic,99.19
2024,Green garlic,100.04
1991,"Hen eggs in shell, fresh",15680.0
1992,"Hen eggs in shell, fresh",15390.0
1993,"Hen eggs in shell, fresh",22574.0
1994,"Hen eggs in shell, fresh",21087.0
1995,"Hen eggs in shell, fresh",18130.0
1996,"Hen eggs in shell, fresh",20470.0
1997,"Hen eggs in shell, fresh",19809.0
1998,"Hen eggs in shell, fresh",18852.0
1999,"Hen eggs in shell, fresh",18011.0
2000,"Hen eggs in shell, fresh",18889.0
2001,"Hen eggs in shell, fresh",19524.0
2002,"Hen eggs in shell, fresh",1444.0
2003,"Hen eggs in shell, fresh",1556.0
2004,"Hen eggs in shell, fresh",1587.0
2005,"Hen eggs in shell, fresh",1556.0
2006,"Hen eggs in shell, fresh",1540.0
2007,"Hen eggs in shell, fresh",1749.0
2008,"Hen eggs in shell, fresh",1957.0
2009,"Hen eggs in shell, fresh",2076.0
2010,"Hen eggs in shell, fresh",2060.0
2011,"Hen eggs in shell, fresh",2048.0
2012,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2246.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2179.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2014,"Hen eggs in shell, fresh",2205.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2015,"Hen eggs in shell, fresh",2181.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2016,"Hen eggs in shell, fresh",2216.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2017,"Hen eggs in shell, fresh",2273.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2018,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2020,"Hen eggs in shell, fresh",2346.0
2021,"Hen eggs in shell, fresh",2382.0
2021,"Hen eggs in shell, fresh",2300.0
2021,"Hen eggs in shell, fresh",2299.0
2021,"Hen eggs in shell, fresh",2301.0
2021,"Hen eggs in shell, fresh",2317.0
2021,"Hen eggs in shell, fresh",2343.0
2021,"Hen eggs in shell, fresh",2376.0
2021,"Hen eggs in shell, fresh",2424.0
2021,"Hen eggs in shell, fresh",2424.0
2021,"Hen eggs in shell, fresh",2424.0
2021,"Hen eggs in shell, fresh",2424.0
2021,"Hen eggs in shell, fresh",2478.0
2021,"Hen eggs in shell, fresh",2478.0
2022,"Hen eggs in shell, fresh",2983.0
2022,"Hen eggs in shell, fresh",2544.0
2022,"Hen eggs in shell, fresh",2549.0
2022,"Hen eggs in shell, fresh",2831.0
2022,"Hen eggs in shell, fresh",3089.0
2022,"Hen eggs in shell, fresh",3089.0
2022,"Hen eggs in shell, fresh",3089.0
2022,"Hen eggs in shell, fresh",3089.0
2022,"Hen eggs in shell, fresh",3087.0
2022,"Hen eggs in shell, fresh",3086.0
2022,"Hen eggs in shell, fresh",3078.0
2022,"Hen eggs in shell, fresh",3105.0
2022,"Hen eggs in shell, fresh",3150.0
2023,"Hen eggs in shell, fresh",3152.0
2023,"Hen eggs in shell, fresh",3165.0
2023,"Hen eggs in shell, fresh",3173.0
2023,"Hen eggs in shell, fresh",3173.0
2023,"Hen eggs in shell, fresh",3175.0
2023,"Hen eggs in shell, fresh",3173.0
2023,"Hen eggs in shell, fresh",3173.0
2023,"Hen eggs in shell, fresh",3170.0
2023,"Hen eggs in shell, fresh",3125.0
2023,"Hen eggs in shell, fresh",3129.0
2023,"Hen eggs in shell, fresh",3129.0
2023,"Hen eggs in shell, fresh",3129.0
2023,"Hen eggs in shell, fresh",3125.0
1991,"Hen eggs in shell, fresh",1139.5
1992,"Hen eggs in shell, fresh",1118.4
1993,"Hen eggs in shell, fresh",1640.5
1994,"Hen eggs in shell, fresh",1532.5
1995,"Hen eggs in shell, fresh",1317.6
1996,"Hen eggs in shell, fresh",1487.6
1997,"Hen eggs in shell, fresh",1439.6
1998,"Hen eggs in shell, fresh",1370.0
1999,"Hen eggs in shell, fresh",1308.9
2000,"Hen eggs in shell, fresh",1372.7
2001,"Hen eggs in shell, fresh",1418.9
2002,"Hen eggs in shell, fresh",1444.0
2003,"Hen eggs in shell, fresh",1556.0
2004,"Hen eggs in shell, fresh",1587.0
2005,"Hen eggs in shell, fresh",1556.0
2006,"Hen eggs in shell, fresh",1540.0
2007,"Hen eggs in shell, fresh",1749.0
2008,"Hen eggs in shell, fresh",1957.0
2009,"Hen eggs in shell, fresh",2076.0
2010,"Hen eggs in shell, fresh",2060.0
2011,"Hen eggs in shell, fresh",2048.0
2012,"Hen eggs in shell, fresh",2179.0
2013,"Hen eggs in shell, fresh",2246.0
2014,"Hen eggs in shell, fresh",2205.0
2015,"Hen eggs in shell, fresh",2181.0
2016,"Hen eggs in shell, fresh",2216.0
2017,"Hen eggs in shell, fresh",2273.0
2018,"Hen eggs in shell, fresh",2347.0
2019,"Hen eggs in shell, fresh",2347.0
2020,"Hen eggs in shell, fresh",2346.0
2021,"Hen eggs in shell, fresh",2382.0
2022,"Hen eggs in shell, fresh",2983.0
2023,"Hen eggs in shell, fresh",3152.0
1991,"Hen eggs in shell, fresh",1342.9
1992,"Hen eggs in shell, fresh",1400.4
1993,"Hen eggs in shell, fresh",1940.7
1994,"Hen eggs in shell, fresh",1846.2
1995,"Hen eggs in shell, fresh",1798.3
1996,"Hen eggs in shell, fresh",1933.6
1997,"Hen eggs in shell, fresh",1623.1
1998,"Hen eggs in shell, fresh",1522.9
1999,"Hen eggs in shell, fresh",1394.5
2000,"Hen eggs in shell, fresh",1264.7
2001,"Hen eggs in shell, fresh",1269.7
2002,"Hen eggs in shell, fresh",1359.0
2003,"Hen eggs in shell, fresh",1756.1
2004,"Hen eggs in shell, fresh",1970.5
2005,"Hen eggs in shell, fresh",1935.0
2006,"Hen eggs in shell, fresh",1931.9
2007,"Hen eggs in shell, fresh",2393.8
2008,"Hen eggs in shell, fresh",2866.7
2009,"Hen eggs in shell, fresh",2884.0
2010,"Hen eggs in shell, fresh",2728.3
2011,"Hen eggs in shell, fresh",2847.0
2012,"Hen eggs in shell, fresh",2799.7
2013,"Hen eggs in shell, fresh",2982.1
2014,"Hen eggs in shell, fresh",2925.4
2015,"Hen eggs in shell, fresh",2418.9
2016,"Hen eggs in shell, fresh",2451.2
2017,"Hen eggs in shell, fresh",2567.8
2018,"Hen eggs in shell, fresh",2771.7
2019,"Hen eggs in shell, fresh",2627.4
2020,"Hen eggs in shell, fresh",2679.6
2021,"Hen eggs in shell, fresh",2817.3
2022,"Hen eggs in shell, fresh",3137.0
2023,"Hen eggs in shell, fresh",3408.2
1991,"Hen eggs in shell, fresh",51.78
1992,"Hen eggs in shell, fresh",50.82
1993,"Hen eggs in shell, fresh",74.55
1994,"Hen eggs in shell, fresh",69.64
1995,"Hen eggs in shell, fresh",59.87
1996,"Hen eggs in shell, fresh",67.6
1997,"Hen eggs in shell, fresh",65.42
1998,"Hen eggs in shell, fresh",62.26
1999,"Hen eggs in shell, fresh",59.48
2000,"Hen eggs in shell, fresh",62.38
2001,"Hen eggs in shell, fresh",64.47
2002,"Hen eggs in shell, fresh",65.62
2003,"Hen eggs in shell, fresh",70.71
2004,"Hen eggs in shell, fresh",72.11
2005,"Hen eggs in shell, fresh",70.71
2006,"Hen eggs in shell, fresh",69.98
2007,"Hen eggs in shell, fresh",79.48
2008,"Hen eggs in shell, fresh",88.93
